Assembler,Sample,Ram_percentage
ray21,ERR4296986,21.0
ray63,ERR4296986,21.0
ray99,ERR4296986,21.0
megahit,ERR4326292,15.4
trinity,ERR4326292,14.6
spades,ERR4326292,24.9
metaspades,ERR4326292,36.0
abyss21,ERR4326292,23.5
abyss63,ERR4326292,22.5
abyss99,ERR4326292,21.6
velvet21,ERR4326292,22.8
metavelvet21,ERR4326292,22.8
velvet63,ERR4326292,21.5
metavelvet63,ERR4326292,20.8
velvet99,ERR4326292,20.3
metavelvet99,ERR4326292,19.9
ray21,ERR4326292,24.8
ray63,ERR4326292,24.4
ray99,ERR4326292,24.4
megahit,ERR4316363,15.5
trinity,ERR4316363,14.7
spades,ERR4316363,25.0
metaspades,ERR4316363,35.7
abyss21,ERR4316363,19.2
abyss63,ERR4316363,19.5
abyss99,ERR4316363,19.3
velvet21,ERR4316363,21.0
metavelvet21,ERR4316363,21.0
velvet63,ERR4316363,19.0
metavelvet63,ERR4316363,19.0
velvet99,ERR4316363,18.7
metavelvet99,ERR4316363,18.9
ray21,ERR4316363,20.5
ray63,ERR4316363,20.6
ray99,ERR4316363,20.4
